Unnamed: 0,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
79,LOUISA COFFEE 路易莎咖啡 (南港展覽館直營門市),ChIJJWhuoRerQjQRVUEmFr7X9C0,25.056674800000003,121.6172834,2.5,45,"['cafe', 'food', 'point_of_interest', 'establishment']",南港區經貿二路1號1樓號商店街
82,STARBUCKS 星巴克 (101門市),ChIJSTLZ6barQjQRDNycA51cBq4,25.0334521,121.56476799999999,4.1,253,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",信義區市府路45號101辦公大樓1樓
84,STARBUCKS (星巴克101典藏門市),ChIJUzoMxrarQjQR_T4HJVWbE-I,25.0334929,121.56410100000001,3.8,143,"['cafe', 'food', 'point_of_interest', 'establishment']","B1, No. 45號, 市府路, 信義區"
86,STARBUCKS 星巴克 (通化門市),ChIJ1YzfMc3WDRQRrjAhgGbVNFQ,25.0324707,121.5544175,4,520,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區文昌街209號
93,cama café 森林公園店,ChIJOVtsVtKrQjQRGauT-2ZfoZw,25.033762,121.5343124,4.4,108,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區信義路三段25號
94,Louisa Coffee 路易．莎咖啡 (大安森林公園門市),ChIJ84xePtWrQjQRx-ubWTNEPrs,25.0333266,121.5347197,3.9,770,"['cafe', 'food', 'point_of_interest', 'establishment']",大安區信義路三段100號B1
95,STARBUCKS 星巴克 (永康街2F門市),ChIJIcFPa4KpQjQR5SlT6EQMkiI,25.0332989,121.529752,4.1,536,"['cafe', 'food', 'point_of_interest', 'establishment']",大安區永康街2號2樓
97,STARBUCKS 星巴克 (南海門市),ChIJJ5L21Z6pQjQRgrSFseDy92M,25.032387600000003,121.51688130000001,4.1,1038,"['cafe', 'food', 'point_of_interest', 'establishment']",中正區南海路20號
99,85度C咖啡蛋糕飲料(台北寧波東店),ChIJf88YHZypQjQR1KWjaRe0ZZ4,25.0320522,121.5199162,3.2,273,"['cafe', 'food', 'point_of_interest', 'establishment']",中正區寧波東街6號
101,怡客咖啡 南昌店,ChIJPXWt05ipQjQRS9b76VGJtsg,25.0321,121.5163583,3.8,618,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中正區南昌路一段20號
