,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
576,Subway,ChIJoS9qLIWpQjQRO55Zt-cGWG0,25.013051,121.5367739,3.2,239,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 85號, Section 4, Roosevelt Road, Da’an District"
577,Subway水源店,ChIJc9T-n4ypQjQR4xP8f3HkL3g,25.013878,121.5303712,2.3,77,"['restaurant', 'food', 'point_of_interest', 'establishment']",中正區思源街16號
578,肯德基KFC-台北台大餐廳,ChIJ6fT12YupQjQRxhugLfbofCw,25.017121,121.5331512,3.8,2571,"['restaurant', 'food', 'point_of_interest', 'establishment']",大安區新生南路三段96-1號
580,麥當勞-台北新生店,ChIJ5Zls-surQjQRtQ0XFunyOtY,25.0181662,121.5333428,3.9,2300,"['restaurant', 'food', 'point_of_interest', 'establishment']",大安區新生南路三段88-2號
588,SUBWAY,ChIJoS9qLIWpQjQRer8TGm-TG0w,25.0272214,121.5257834,3.7,352,"['restaurant', 'food', 'point_of_interest', 'establishment']",大安區金山南路二段230號
607,八方雲集 台北南門店,ChIJkYI_G6SpQjQR6ThzMrkFXvs,25.0342092,121.5074043,2.8,278,"['restaurant', 'food', 'point_of_interest', 'establishment']",中正區延平南路222號
608,SUBWAY Xiaonanmen Shop,ChIJm9Y6iAmpQjQREn1MeH_1oCM,25.0350694,121.507725,3.6,422,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 165號, Yanping South Road, Zhongzheng District"
609,McDonald's Carrefour Guilin Restaurant,ChIJLd2tBKepQjQR7GfSJDt1ZQs,25.0377778,121.5061111,3.9,1840,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 1, Guilin Road, Wanhua District"
617,摩斯漢堡 長安西路店,ChIJgbzvHhOpQjQRFpdTmd4yDUQ,25.0520225,121.5124901,3.8,505,"['restaurant', 'food', 'point_of_interest', 'establishment']",大同區長安西路219號
619,PIZZA HUT必勝客-圓環外送店,ChIJh9qrSxOpQjQRWF3RtcG5kL8,25.0530122,121.5139769,3.4,139,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",大同區重慶北路一段108號
621,必勝客圓環外送店,ChIJh9qrSxOpQjQRSahmXUNUdqw,25.0530122,121.5139769,2.2,5,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 108, Section 1, Chongqing North Road, Datong District"
622,八方雲集 (台北懷寧店),ChIJ50qUNXOpQjQR1aKoisrd5cc,25.0455808,121.5141196,3.2,462,"['restaurant', 'food', 'point_of_interest', 'establishment']",中正區懷寧街24號
623,Subway 忠孝重慶店,ChIJCQIFGA2pQjQRCBBfN-OgqV0,25.0471467,121.512746,3.2,203,"['restaurant', 'food', 'point_of_interest', 'establishment']",中正區忠孝西路一段98號1 樓
642,Subway,ChIJ8xm4MGCpQjQRfJR0dlpeYy0,25.0522635,121.5356631,4,248,"['restaurant', 'food', 'point_of_interest', 'establishment']","1F, No. 151, Section 2, Nanjing East Road, Zhongshan District"
643,摩斯漢堡,ChIJxXKO1GmpQjQRsuBZWXVy7Vw,25.050771,121.530192,4,324,"['restaurant', 'food', 'point_of_interest', 'establishment']",中山區吉林路27號1F
645,必勝客-長安外送店,ChIJp1mIc2SpQjQRJndi-_ZVZU4,25.04861,121.530924,3.9,164,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",中山區長安東路二段23號
646,八方雲集 (台北吉林店),ChIJk-qkWGepQjQRogl6GcRC-hQ,25.0555707,121.5302814,3.6,407,"['restaurant', 'food', 'point_of_interest', 'establishment']",中山區吉林路89號
648,八方雲集 （寧安店),ChIJd58bM-qrQjQRFvyO5tTmg4E,25.0523749,121.5550749,3.5,129,"['restaurant', 'food', 'point_of_interest', 'establishment']",松山區南京東路四段133巷4弄2號
649,摩斯漢堡 八德店,ChIJwVQDjeirQjQRTjRGCsOz5f4,25.0482796,121.5543722,3.7,313,"['restaurant', 'food', 'point_of_interest', 'establishment']",松山區八德路三段123號
651,拿坡里披薩 八德店,ChIJ9x8DJsKrQjQRfaa5ap1hPlc,25.048041,121.5537449,3.8,509,"['restaurant', 'food', 'point_of_interest', 'establishment']",松山區八德路三段112號
653,摩斯漢堡 臺北小巨蛋店,ChIJwVQDjeirQjQR4kOXMGUEEZw,25.0507933,121.5498896,3.7,396,"['restaurant', 'food', 'point_of_interest', 'establishment']",松山區南京東路四段2號
655,PIZZA HUT必勝客-敦化餐廳店(歡樂吧),ChIJsylGZZarQjQRbR1R2V18U2Q,25.0519225,121.5500825,3.9,1672,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",松山區南京東路四段15號
657,摩斯漢堡 敦北店,ChIJwVQDjeirQjQR5xJj6V2Cx4o,25.0541667,121.5497222,3.4,364,"['restaurant', 'food', 'point_of_interest', 'establishment']",松山區敦化北路155巷1號
660,PIZZA HUT必勝客-台北八德店,ChIJsylGZZarQjQRkd8WJSN62N0,25.0491991,121.5663493,3.8,218,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",松山區八德路四段293號
667,達美樂-健康店,ChIJ23L-V5OrQjQRV8QNfuHoyzM,25.0538373,121.5604605,4.1,167,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",松山區健康路212號
670,MOS BURGER Songshan Station Shop,ChIJaQL2pJ6rQjQRvHmFMwrra_c,25.049333,121.5796309,3.3,199,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 11號, Songshan Road, Xinyi District"
671,拿坡里披薩 景新店,ChIJ5aV334ICaDQRGRiPQYa5mSs,24.9916949,121.5116875,3.1,811,"['restaurant', 'food', 'point_of_interest', 'establishment']",中和區安樂路8之1號
673,Pizza Hut Zhonghe Jingxin,ChIJG1GGdtipQjQRm6aVMjLlGRw,24.990601,121.5122172,3.8,312,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",中和區景新街371號
674,摩斯漢堡南勢角店,ChIJw_dLhnQCaDQR7E4V2DEFhno,24.9916238,121.511637,4,746,"['restaurant', 'food', 'point_of_interest', 'establishment']",中和區景新街318號
687,八方雲集 (中和復興店),ChIJ_QevqYACaDQR0sxY8LJyPpc,24.990177,121.5030233,3.7,178,"['restaurant', 'food', 'point_of_interest', 'establishment']",中和區復興路259號號
