,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
124,Chang Hwa Bank,ChIJR7tivs2rQjQR-ABn9cg5NUc,25.0305889,121.549228,2,4,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 71號, Section 2, Dunhua South Road, Da’an District"
125,Taipei Fubon Bank,ChIJs3azti6qQjQR6fYJIewNuZ8,25.0251705,121.5432363,4.2,23,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","No. 236, Section 2, Fuxing South Road, Da’an District"
128,Standard Chartered Bank Dunhua Branch,ChIJ6-9npTKqQjQRpoMQQLXLC5I,25.0316933,121.5491575,2.5,23,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 39號, Section 2, Dunhua South Road, Da’an District"
129,Cathay United Bank Xinyi Branch,ChIJmVOVn9KrQjQRgoYJs0GJrW4,25.0320106,121.5484194,3.1,8,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 32號, Section 2, Dunhua South Road, Da’an District"
143,華泰銀行,ChIJTynxtS6qQjQRoO_OHiVYv2E,25.0247169,121.542985,1.5,4,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區和平東路二段122號
147,第一商業銀行-和平分行,ChIJsVMrRc2rQjQRAfeCHvNVBt0,25.0253859,121.5411609,2.9,13,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區和平東路二段151號
148,華南銀行-和平分行,ChIJSQbtnymqQjQRc41nmXeGK88,25.025577,121.5398302,3.2,12,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區和平東路二段93號
195,國泰世華銀行 大安分行,ChIJmYpUC9GrQjQRka8tridV3L8,25.0382523,121.5458233,3.3,18,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區仁愛路四段33號
196,合作金庫銀行 敦南分行,ChIJY59MddKrQjQR_hs-DVjeAj0,25.0341081,121.5484243,2.8,9,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路1段362號
197,彰化商業銀行,ChIJqZk2qNGrQjQRAgBMK-3hiyY,25.0382566,121.5456779,3.2,6,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區仁愛路四段31號
198,第一銀行 信維分行,ChIJzRO8j9OrQjQRbhheSxNiChs,25.034738,121.543307,3,12,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區復興南路一段370號
199,合作金庫銀行 信維分行,ChIJu7chlNOrQjQRAksi3qfvKC0,25.0346022,121.5439317,2.8,17,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區復興南路一段303號
200,臺灣企銀 復興分行,ChIJleyledOrQjQRUU-JoouoUgk,25.0337113,121.5433687,2,14,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區復興南路一段390號
201,永豐銀行世貿分行,ChIJC8c1BNOrQjQRwXPBOqZWiUc,25.0331581,121.5450456,2.6,5,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區信義路四段46號
203,華南商業銀行敦化分行,ChIJOUODf9KrQjQRUJxCvQmWKhs,25.0330654,121.5483079,3.7,9,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段2號
204,滙豐銀行 敦南分行,ChIJU63f-c-rQjQRErPwRaCON4M,25.0360995,121.5492476,3.4,5,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路1段271號
