,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
140,Pxmart Da'an Minrong,ChIJtXHH_hipQjQRyl0dMIpKDcA,25.0351478,121.5359386,4.1,368,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區仁愛路三段24巷12號號1樓
145,頂好Wellcome 忠孝店,ChIJqRpUltqrQjQRmERXoSebvHo,25.0419552,121.5468164,4,377,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路四段71號
146,PX Mart,ChIJF-K6_3KrQjQRSppUaCIZniQ,25.0411349,121.5473355,4,442,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路四段126號B1
147,台灣主婦聯盟生活消費合作社東區站,ChIJ1_bvZMOrQjQRnjgbKspNeIQ,25.0460031,121.5504221,4.2,39,"['store', 'supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'establishment']",松山區八德路三段12巷52弄5號
148,全聯實業股份有限公司敦南分公司,ChIJl-3io9qrQjQRH5FRbrghZFE,25.041285,121.54732,4.1,9,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路四段120號
149,Fresh Mart,ChIJARaScNqrQjQRuU5qEqRC_Zo,25.04194,121.5449137,4.2,61,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路四段45號B2
150,農聯社,ChIJrWjOjNurQjQRv-NfgF6bMjE,25.046586,121.544163,-,-,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",松山區復興南路一段27號7樓
151,City’Super 復興SOGO店,ChIJAaBnrtCrQjQR1HOxVa3blc8,25.0408932,121.5432417,4.2,332,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路三段300號遠東SOGO台北復興館
158,頂好Wellcome超市,ChIJ4yQXc9erQjQRcKI4YcmSZ68,25.0413889,121.5402778,4,402,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路三段218號B1樓
160,美廉社 - 大安忠孝東店,ChIJkTWKeNerQjQRICNFlT2RJpE,25.0422391,121.5399271,4.3,58,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路三段217巷2弄4號
161,大潤發中崙店,ChIJq4n7VtmrQjQRYLW-DDyK9no,25.0469447,121.5424985,3.9,6622,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",中山區八德路二段306號B2
163,泰勒肉鋪 TAYLOR BUTCHERY,ChIJuRPpHNyrQjQR3U5p4c-dY-s,25.04808,121.5429479,3.7,67,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",中山區長安東路二段234號
166,全聯福利中心,ChIJNcwVLtmrQjQRC4NtoLt6rLI,25.0474464,121.5404968,4,648,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",中山區龍江路15號1.2樓
167,樂鮮良房-大潤發中崙店,ChIJk6XfkpCrQjQREeSnJ45yL_8,25.0468732,121.5425549,4.3,11,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",中山區八德路二段306號
177,全聯福利中心Pxmart 北市興安二,ChIJLWRrG4yrQjQRmI-dkWc6gVE,25.0561392,121.5463569,3.9,297,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","巷9號, No. 130, 民生東路３段, 松山區"
178,第一超市-旗艦店,ChIJz4XIFuirQjQRcFNcAfIhKIc,25.0519742,121.5495307,4.5,4,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",松山區南京東路四段1號
