,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
84,拉亞漢堡,ChIJyfP-8dUcaDQRU_p4M8PkCRM,24.9698606,121.4411558,3,104,"['restaurant', 'food', 'point_of_interest', 'establishment']",土城區金城路一段49號
85,呷尚寶,ChIJnRQY8tUcaDQRiOI4CIQq6WM,24.9698299,121.441015,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']",土城區千歲路13號
86,瑞麟美而美-土城光明店,ChIJIWDjlisdaDQRQ3c6LwF0R_o,24.974415,121.441846,3.8,5,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 4號, Guangming Street, Tucheng District"
88,麥味登(土城太陽店),ChIJO2wzEX4daDQR6JMDCx5wWZE,24.9740622,121.4420444,3.6,66,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 22號, Guangming Street, Tucheng District"
89,美而美早餐店,ChIJlfAVnysdaDQRa5Bfq7oj1GY,24.9741846,121.4426492,5,4,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","No. 10-1, 北87鄉道, Tucheng District"
90,巨林美而美,ChIJAdCJBiwdaDQR6zBOS8fXOBU,24.9761365,121.440437,4,4,"['restaurant', 'food', 'point_of_interest', 'establishment']",Taiwan
92,美而美,ChIJ2_yAk8kCaDQR5fOVQNecOJ8,24.9874812,121.4523923,3.7,3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Xuecheng Road, Tucheng District"
93,美而美漢堡,ChIJcwA7QMwCaDQRbVpKgtFQ8R0,24.982911,121.4497807,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']",土城區學府路一段282號
94,麥味登土城海山店,ChIJJdSrwcwCaDQRAEkZeZodP8o,24.983456,121.4468802,3.5,132,"['restaurant', 'food', 'point_of_interest', 'establishment']",土城區明德路二段199號
95,美而美,ChIJYQd-STMdaDQRinASkx0vjzo,24.9842324,121.4452699,4.3,37,"['restaurant', 'food', 'point_of_interest', 'establishment']","號, No. 104, 明德路二段, 土城區"
96,弘爺漢堡 土城中央店,ChIJu1s0odIdaDQRFv0aiI7lm6o,24.9847692,121.4446898,3.8,50,"['restaurant', 'food', 'point_of_interest', 'establishment']",土城區中央路一段273號1樓
97,巨林美而美,ChIJmeZvMcsCaDQRuEvw0wb5658,24.9869512,121.4460239,4.2,10,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 195, Section 1, Zhongyang Road, Tucheng District"
99,星誼美而美,ChIJXTA5zDQdaDQRQdDMzs45TTM,24.9870955,121.4453356,4.7,3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rixin Street, Tucheng District"
101,麥味登-板橋貴興,ChIJQzgc5cEDaDQRay08Wk8y2kE,25.0025678,121.4559751,3.4,177,"['restaurant', 'food', 'point_of_interest', 'establishment']",板橋區貴興路109號
102,呷尚寶早餐（廣川店）,ChIJtx6rf0cDaDQRNOfc7YQ5T7Q,24.9957443,121.4551773,4.6,52,"['restaurant', 'food', 'point_of_interest', 'establishment']",土城區四川路27號
103,麥味登 板橋亞東店,ChIJbQ_JNLQDaDQRngvytnFwPxU,24.9950429,121.4534671,4.8,12,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 63號, Section 2, Sichuan Road, Banqiao District"
104,巨林美而美早餐店(板橋-南雅),ChIJ17c_77MCaDQRz8qVgWWHRu4,24.99563,121.4505296,4.4,20,"['restaurant', 'food', 'point_of_interest', 'establishment']",板橋區南雅南路二段144巷22號
106,興隆美而美,ChIJLeyQ4TwDaDQRbhZFipXttcQ,25.0025981,121.4493932,4,16,"['restaurant', 'food', 'point_of_interest', 'establishment']",板橋區大觀路二段37巷57號
108,呷尚寶,ChIJ8at10KcCaDQRAFoOsofyAyY,25.0073046,121.4575701,3.5,104,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 86號, Guanqian West Road, Banqiao District"
109,拉亞漢堡-板橋北門,ChIJK1JvNx2oQjQR_xHRUMr8GdM,25.0105922,121.4577784,4.2,140,"['restaurant', 'food', 'point_of_interest', 'establishment']",板橋區北門街10號
110,麥味登 板橋體育館店,ChIJ_-BsJAOoQjQRd8kJUrSXeoc,25.012443,121.45603,3.9,181,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 17號, Zhongzheng Road, Banqiao District"
111,光正美而美,ChIJ94JajoCpQjQRfHMohBSxC0k,25.0169888,121.4633796,4.8,13,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 2號, Guangzheng Street, Banqiao District"
112,拉亞漢堡 板橋中山,ChIJMzo1DsSpQjQRujhRmj0fXkg,25.011308,121.466295,3.8,130,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 18號, Lane 158, Section 1, Zhongshan Road, Banqiao District"
113,拉亞漢堡 板橋新民,ChIJeT5uGeepQjQRYB0MvuDTSdE,25.0101634,121.4640205,3.6,28,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 21號, Xinmin Street, Banqiao District"
115,巨林美而美,ChIJ6ztDeBuoQjQRmeDSvwhsyt8,25.0143362,121.4597969,4.6,67,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 2號, Alley 4, Lane 202, Minquan Road, Banqiao District"
118,麥味登 莊敬店,ChIJCx-PiT6oQjQRAsMWBAy-6Ek,25.0225405,121.4713256,3.9,110,"['restaurant', 'food', 'point_of_interest', 'establishment']",板橋區莊敬路162號
119,巨林美而美漢堡,ChIJN_JeOzyoQjQR1Bpg9uhl3ic,25.0207815,121.4722772,4.3,6,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 12號, Lane 220, Zhuangjing Road, Banqiao District"
121,巨仁美而美漢堡店,ChIJDXtVIzyoQjQRVVgOWFeBiok,25.0207991,121.4722879,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 8, Lane 220, Zhuangjing Road, Banqiao District"
122,Hong Ya Hamburger,ChIJxzTHOzyoQjQRc2P7wMrZFtA,25.0207616,121.47229,3.5,31,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 20號, Lane 220, Zhuangjing Road, Banqiao District"
123,芳鄰美而美,ChIJ-x-bbBaoQjQRll1vPwfkQL8,25.0205598,121.4656146,4,150,"['restaurant', 'food', 'point_of_interest', 'establishment']",板橋區文化路一段311號之13號
124,瑞麟美而美-板橋四維店,ChIJT4POUxSoQjQRrQLfhrkCEIs,25.0252933,121.4653154,3.7,23,"['restaurant', 'food', 'point_of_interest', 'establishment']",板橋區四維路130號
126,拉亞漢堡-板橋江翠,ChIJbcXu_D2pQjQRFXmGLOmXIiY,25.0328446,121.4747525,4,105,"['restaurant', 'food', 'point_of_interest', 'establishment']",板橋區文化路二段425號
127,巨林美而美早餐,ChIJff8z9kSoQjQRRBz9fWMy0Q4,25.0336153,121.4759257,3.7,7,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 526, Section 2, Wenhua Road, Banqiao District"
129,美而美,ChIJx7KtVEGoQjQR3utKkmO0dwI,25.0313526,121.4741684,2.3,15,"['restaurant', 'food', 'point_of_interest', 'establishment']","號, No. 1, Lane 410, Section 2, Wenhua Road, Banqiao District"
130,麥味登早餐,ChIJAxaJrEaoQjQRawwPUw1Le30,25.0312173,121.4743325,4.1,10,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 1, Alley 1, Lane 410, Section 2, Wenhua Road, Banqiao District"
131,麥味登巧聖香店(巧聖香店),ChIJ0ax-VEGoQjQRCiWCQdf832A,25.031384,121.473982,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 6, Lane 410, Section 2, Wenhua Road, Banqiao District"
132,拉亞漢堡 板橋仁化,ChIJpQccS0SoQjQRRt-1cWmxbCw,25.0325236,121.4768785,4.1,70,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 119, Renhua Street, Banqiao District"
140,巨林美而美,ChIJBZZssKKpQjQRuOVFwCmTZ5E,25.0385531,121.5013272,2.7,26,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 93號, Guilin Road, Wanhua District"
142,JSP 呷尚寶,ChIJVZ7NeK-pQjQRL8Jd_o9Ck6s,25.0330832,121.5023963,4.1,134,"['restaurant', 'food', 'point_of_interest', 'establishment']",萬華區艋舺大道118號
